epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,675.265,1.62506,4.31862,1.57138,0.0463,0.05556,0.04875,0.03763,0.85029,4.38985,1.14764,0.00013195,0.00013195,0.00013195
2,1189.49,1.4896,3.79366,1.46082,0.03282,0.51111,0.1781,0.11324,0.97975,4.07355,1.18966,0.000265792,0.000265792,0.000265792
3,1710.5,1.49385,3.38595,1.45946,0.82049,0.07626,0.25432,0.16264,1.10474,3.69631,1.22819,0.000396932,0.000396932,0.000396932
4,2220.02,1.5005,3.08622,1.45304,0.69026,0.27083,0.31391,0.2241,1.0072,3.24249,1.1995,0.000441486,0.000441486,0.000441486
5,2670.38,1.46552,2.84379,1.46432,0.34158,0.30833,0.34049,0.25255,0.97769,2.83356,1.19887,0.000436982,0.000436982,0.000436982
6,3169.14,1.44789,2.72356,1.4232,0.29857,0.63056,0.43309,0.30552,1.08712,2.88572,1.30231,0.000432478,0.000432478,0.000432478
7,3669.47,1.41893,2.54027,1.38988,0.38966,0.42149,0.43816,0.34899,1.02403,2.53757,1.24537,0.000427973,0.000427973,0.000427973
8,4115.83,1.36852,2.34877,1.34849,0.49533,0.44054,0.5273,0.33583,0.93451,2.3851,1.11854,0.000423468,0.000423468,0.000423468
9,4521.25,1.40151,2.23738,1.37381,0.4401,0.57362,0.56358,0.32337,1.10098,2.42503,1.26019,0.000418964,0.000418964,0.000418964
10,4939.37,1.36025,2.14818,1.34141,0.33411,0.7127,0.50362,0.33995,1.03686,2.17686,1.18601,0.00041446,0.00041446,0.00041446
11,5370.95,1.34918,2.10552,1.3179,0.55299,0.61111,0.61563,0.41069,0.99943,2.05211,1.20755,0.000409955,0.000409955,0.000409955
12,5760.63,1.29313,2.00295,1.27716,0.77971,0.38749,0.54119,0.35293,1.15732,2.39436,1.29316,0.000405451,0.000405451,0.000405451
13,6147.01,1.30008,1.9336,1.28168,0.36555,0.62111,0.53649,0.37088,1.01837,2.18226,1.16384,0.000400946,0.000400946,0.000400946
14,6563.12,1.26319,1.85707,1.25082,0.33423,0.63268,0.60846,0.40424,0.83854,2.01014,1.07464,0.000396441,0.000396441,0.000396441
15,7006.88,1.28386,1.85441,1.28381,0.25865,0.6,0.55611,0.38636,0.91595,1.80437,1.13796,0.000391937,0.000391937,0.000391937
16,7365.59,1.22975,1.7847,1.26696,0.53113,0.57894,0.63127,0.42801,0.92447,1.91318,1.15915,0.000387433,0.000387433,0.000387433
